customer_id,customer_city,order_id,order_status,order_delivered_customer_time,how_late_days
3,Ростов-на-Дону,178,Returned,31/03/24 23:59,68.28827846193288
3,Ростов-на-Дону,725,In Transit,31/03/24 23:59,55.187672221250004
3,Ростов-на-Дону,726,Delivered,10/02/24 06:46,0.6180555555555556
3,Ростов-на-Дону,727,Delivered,06/02/24 08:50,-0.008333333333333333
8,Тольятти,1313,In Transit,31/03/24 23:59,40.15542010935185
11,Санкт-Петербург,610,In Transit,31/03/24 23:59,57.4145088471412
11,Санкт-Петербург,613,In Transit,31/03/24 23:59,56.20073995953704
11,Санкт-Петербург,3484,Delivered,18/03/24 21:39,0.8305555555555556
11,Санкт-Петербург,3486,Returned,31/03/24 23:59,10.966023235462963
12,Екатеринбург,4449,Delivered,31/03/24 23:48,1.3180555555555555
13,Самара,2963,Delivered,13/03/24 22:17,0.5291666666666667
15,Краснодар,16,Delivered,13/01/24 04:53,1.8847222222222222
17,Екатеринбург,1209,In Transit,31/03/24 23:59,43.141258931817134
17,Екатеринбург,1210,Delivered,19/02/24 16:08,1.3576388888888888
17,Екатеринбург,1876,Delivered,04/03/24 19:18,3.6729166666666666
24,Ижевск,1314,Delivered,19/02/24 13:37,-0.9881944444444445
25,Волгоград,111,Returned,31/03/24 23:59,74.49158460555554
25,Волгоград,112,In Transit,31/03/24 23:59,74.33652160789352
26,Казань,1,Delivered,04/01/24 05:04,-0.8333333333333334
30,Омск,67,Delivered,15/01/24 11:00,-0.42291666666666666
30,Омск,68,In Transit,31/03/24 23:59,75.68574333013889
31,Саратов,61,Delivered,17/01/24 08:56,2.8305555555555557
31,Саратов,117,In Transit,31/03/24 23:59,74.60291667928242
31,Саратов,118,Returned,31/03/24 23:59,70.3437337803588
34,Нижний Новгород,3202,Delivered,19/03/24 06:50,3.126388888888889
37,Пермь,277,Delivered,26/01/24 11:41,0.71875
38,Челябинск,2130,Delivered,03/03/24 22:24,-0.8944444444444445
44,Пермь,3815,In Transit,31/03/24 23:59,6.820024100474537
44,Пермь,4739,In Transit,31/03/24 23:59,-0.4265864456944445
46,Пермь,387,In Transit,31/03/24 23:59,62.46450903271991
46,Пермь,2830,Returned,31/03/24 23:59,18.39825276804398
47,Санкт-Петербург,62,Delivered,13/01/24 00:03,-0.33958333333333335
51,Санкт-Петербург,1798,In Transit,31/03/24 23:59,35.09665572657407
53,Челябинск,3552,Delivered,23/03/24 16:59,1.523611111111111
54,Новосибирск,2372,Returned,31/03/24 23:59,23.308117272905093
55,Пермь,57,Delivered,14/01/24 18:36,2.763888888888889
55,Пермь,58,Delivered,15/01/24 17:46,0.2361111111111111
55,Пермь,59,Delivered,15/01/24 09:37,0.6541666666666667
55,Пермь,60,Delivered,14/01/24 22:47,1.804861111111111
55,Пермь,3151,Delivered,17/03/24 05:19,1.8506944444444444
55,Пермь,3152,In Transit,31/03/24 23:59,14.428700919479166
55,Пермь,3154,In Transit,31/03/24 23:59,14.039210586319445
56,Ижевск,2688,In Transit,31/03/24 23:59,21.35920341175926
58,Омск,484,In Transit,31/03/24 23:59,58.35081620383102
58,Омск,4175,Returned,31/03/24 23:59,3.4071559381481484
58,Омск,4179,In Transit,31/03/24 23:59,3.3198475669444445
59,Воронеж,6,Returned,31/03/24 23:59,84.89281962849537
59,Воронеж,992,Returned,31/03/24 23:59,44.3329651978588
60,Новосибирск,3452,Returned,31/03/24 23:59,12.843033877314816
62,Тюмень,750,Delivered,10/02/24 07:51,1.2326388888888888
63,Пермь,4,Returned,31/03/24 23:59,81.3385649921412
64,,594,Delivered,02/02/24 17:17,0.19444444444444445
64,,595,Delivered,02/02/24 12:43,-0.6555555555555556
64,,2341,Delivered,07/03/24 21:45,0.7722222222222223
65,Казань,3326,Delivered,23/03/24 00:12,2.967361111111111
67,Ижевск,1331,In Transit,31/03/24 23:59,41.574275285520834
68,Челябинск,4778,Returned,31/03/24 23:59,-2.2062926281365742
69,Тюмень,4228,In Transit,31/03/24 23:59,5.697223259097222
71,Самара,1345,Delivered,25/02/24 00:12,-1.0
